change_value,num_coins,runtime,coins,denominations
2010,41,0.003993988037109375,"[0, 0, 1, 0, 40]","[1, 5, 10, 25, 50]"
2015,42,0.0038259029388427734,"[0, 1, 1, 0, 40]","[1, 5, 10, 25, 50]"
2020,42,0.004153013229370117,"[0, 0, 2, 0, 40]","[1, 5, 10, 25, 50]"
2025,41,0.005348920822143555,"[0, 0, 0, 1, 40]","[1, 5, 10, 25, 50]"
2030,42,0.004967927932739258,"[0, 1, 0, 1, 40]","[1, 5, 10, 25, 50]"
2035,42,0.004297971725463867,"[0, 0, 1, 1, 40]","[1, 5, 10, 25, 50]"
2040,43,0.003945827484130859,"[0, 1, 1, 1, 40]","[1, 5, 10, 25, 50]"
2045,43,0.00497889518737793,"[0, 0, 2, 1, 40]","[1, 5, 10, 25, 50]"
2050,41,0.004328012466430664,"[0, 0, 0, 0, 41]","[1, 5, 10, 25, 50]"
2055,42,0.0039010047912597656,"[0, 1, 0, 0, 41]","[1, 5, 10, 25, 50]"
2060,42,0.003782987594604492,"[0, 0, 1, 0, 41]","[1, 5, 10, 25, 50]"
2065,43,0.003679990768432617,"[0, 1, 1, 0, 41]","[1, 5, 10, 25, 50]"
2070,43,0.004460811614990234,"[0, 0, 2, 0, 41]","[1, 5, 10, 25, 50]"
2075,42,0.005465984344482422,"[0, 0, 0, 1, 41]","[1, 5, 10, 25, 50]"
2080,43,0.005037069320678711,"[0, 1, 0, 1, 41]","[1, 5, 10, 25, 50]"
2085,43,0.004221916198730469,"[0, 0, 1, 1, 41]","[1, 5, 10, 25, 50]"
2090,44,0.003827810287475586,"[0, 1, 1, 1, 41]","[1, 5, 10, 25, 50]"
2095,44,0.0039730072021484375,"[0, 0, 2, 1, 41]","[1, 5, 10, 25, 50]"
2100,42,0.0038328170776367188,"[0, 0, 0, 0, 42]","[1, 5, 10, 25, 50]"
2105,43,0.0037119388580322266,"[0, 1, 0, 0, 42]","[1, 5, 10, 25, 50]"
2110,43,0.004186868667602539,"[0, 0, 1, 0, 42]","[1, 5, 10, 25, 50]"
2115,44,0.005534172058105469,"[0, 1, 1, 0, 42]","[1, 5, 10, 25, 50]"
2120,44,0.00522923469543457,"[0, 0, 2, 0, 42]","[1, 5, 10, 25, 50]"
2125,43,0.004277944564819336,"[0, 0, 0, 1, 42]","[1, 5, 10, 25, 50]"
2130,44,0.0040149688720703125,"[0, 1, 0, 1, 42]","[1, 5, 10, 25, 50]"
2135,44,0.003943920135498047,"[0, 0, 1, 1, 42]","[1, 5, 10, 25, 50]"
2140,45,0.003893136978149414,"[0, 1, 1, 1, 42]","[1, 5, 10, 25, 50]"
2145,45,0.003921031951904297,"[0, 0, 2, 1, 42]","[1, 5, 10, 25, 50]"
2150,43,0.004869937896728516,"[0, 0, 0, 0, 43]","[1, 5, 10, 25, 50]"
2155,44,0.005557060241699219,"[0, 1, 0, 0, 43]","[1, 5, 10, 25, 50]"
2160,44,0.005382061004638672,"[0, 0, 1, 0, 43]","[1, 5, 10, 25, 50]"
2165,45,0.0056819915771484375,"[0, 1, 1, 0, 43]","[1, 5, 10, 25, 50]"
2170,45,0.005240201950073242,"[0, 0, 2, 0, 43]","[1, 5, 10, 25, 50]"
2175,44,0.004352092742919922,"[0, 0, 0, 1, 43]","[1, 5, 10, 25, 50]"
2180,45,0.004014015197753906,"[0, 1, 0, 1, 43]","[1, 5, 10, 25, 50]"
2185,45,0.004086971282958984,"[0, 0, 1, 1, 43]","[1, 5, 10, 25, 50]"
2190,46,0.004158973693847656,"[0, 1, 1, 1, 43]","[1, 5, 10, 25, 50]"
2195,46,0.004152059555053711,"[0, 0, 2, 1, 43]","[1, 5, 10, 25, 50]"
2200,44,0.004464864730834961,"[0, 0, 0, 0, 44]","[1, 5, 10, 25, 50]"
2000,36,0.006434917449951172,"[0, 1, 1, 1, 0, 0, 33]","[1, 2, 6, 12, 24, 48, 60]"
2000,15,0.00466609001159668,"[0, 0, 1, 1, 13]","[1, 6, 13, 37, 150]"
