change_value,num_coins,runtime,coins,denominations
2010,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2015,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2020,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2025,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2030,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2035,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2040,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2045,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2050,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2055,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2060,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2065,4,1.1920928955078125e-06,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2070,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2075,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2080,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2085,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2090,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2095,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2100,4,1.1920928955078125e-06,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2105,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2110,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2115,4,1.1920928955078125e-06,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2120,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2125,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2130,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2135,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2140,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2145,4,1.1920928955078125e-06,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2150,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2155,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2160,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2165,4,1.1920928955078125e-06,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2170,4,9.5367431640625e-07,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2175,4,1.1920928955078125e-06,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2180,4,1.1920928955078125e-06,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2185,4,1.1920928955078125e-06,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2190,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2195,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
2200,4,0.0,"[1, 1, 1, 1]","[1, 5, 10, 25, 50]"
